created_at,pull_requests
2022-09-26,21
2022-09-27,10
2022-09-28,15
2022-09-29,13
2022-09-30,16
2022-10-01,12
2022-10-02,12
2022-10-03,13
2022-10-04,7
2022-10-05,8
2022-10-06,13
2022-10-07,5
2022-10-08,16
2022-10-09,19
2022-10-10,19
2022-10-11,25
2022-10-12,20
2022-10-13,10
2022-10-14,13
2022-10-15,17
2022-10-16,3
2022-10-17,10
2022-10-18,12
2022-10-19,6
2022-10-20,5
2022-10-21,19
2022-10-22,4
2022-10-23,6
2022-10-24,14
2022-10-25,21
2022-10-26,18
2022-10-27,24
2022-10-28,21
2022-10-29,7
2022-10-30,9
2022-10-31,12
2022-11-01,16
2022-11-02,9
2022-11-03,19
2022-11-04,13
2022-11-05,9
2022-11-06,4
2022-11-07,11
2022-11-08,23
2022-11-09,14
2022-11-10,14
2022-11-11,14
2022-11-12,32
2022-11-13,22
2022-11-14,15
2022-11-15,11
2022-11-16,23
2022-11-17,16
2022-11-18,14
2022-11-19,10
2022-11-20,17
2022-11-21,15
2022-11-22,15
2022-11-23,15
2022-11-24,13
2022-11-25,25
2022-11-26,14
2022-11-27,14
2022-11-28,21
2022-11-29,16
2022-11-30,23
2022-12-01,20
2022-12-02,29
2022-12-03,18
2022-12-04,17
2022-12-05,29
2022-12-06,18
2022-12-07,23
2022-12-08,11
2022-12-09,19
2022-12-10,15
2022-12-11,16
2022-12-12,12
2022-12-13,18
2022-12-14,9
2022-12-15,20
2022-12-16,21
2022-12-17,13
2022-12-18,15
2022-12-19,17
2022-12-20,14
2022-12-21,12
2022-12-22,17
2022-12-23,18
2022-12-24,16
2022-12-25,7
2022-12-26,11
2022-12-27,12
2022-12-28,8
2022-12-29,29
2022-12-30,30
2022-12-31,20
2023-01-01,17
2023-01-02,16
2023-01-03,29
2023-01-04,15
2023-01-05,25
2023-01-06,17
2023-01-07,10
2023-01-08,16
2023-01-09,30
2023-01-10,17
2023-01-11,20
2023-01-12,7
2023-01-13,6
2023-01-14,7
2023-01-15,13
2023-01-16,17
2023-01-17,15
2023-01-18,13
2023-01-19,17
2023-01-20,21
2023-01-21,7
2023-01-22,8
2023-01-23,7
2023-01-24,12
2023-01-25,3
2023-01-26,5
2023-01-27,17
2023-01-28,22
2023-01-29,21
2023-01-30,28
2023-01-31,21
2023-02-01,27
2023-02-02,19
2023-02-03,28
2023-02-04,18
2023-02-05,4
2023-02-06,13
2023-02-07,11
2023-02-08,9
2023-02-09,18
2023-02-10,11
2023-02-11,6
2023-02-12,8
2023-02-13,12
2023-02-14,12
2023-02-15,11
2023-02-16,14
2023-02-17,14
2023-02-18,8
2023-02-19,13
2023-02-20,11
2023-02-21,13
2023-02-22,14
2023-02-23,11
2023-02-24,8
2023-02-25,1
2023-02-26,5
2023-02-27,8
2023-02-28,16
2023-03-01,14
2023-03-02,11
2023-03-03,12
2023-03-04,11
2023-03-05,9
2023-03-06,1
2023-03-07,13
2023-03-08,9
2023-03-09,16
2023-03-10,10
2023-03-11,9
2023-03-12,10
2023-03-13,9
2023-03-14,16
2023-03-15,17
2023-03-16,14
2023-03-17,9
2023-03-18,4
2023-03-19,2
2023-03-20,14
2023-03-21,21
2023-03-22,21
2023-03-23,12
2023-03-24,24
2023-03-25,7
2023-03-26,11
2023-03-27,16
2023-03-28,5
2023-03-29,7
2023-03-30,12
2023-03-31,9
2023-04-01,13
2023-04-02,17
2023-04-03,25
2023-04-04,8
2023-04-05,7
2023-04-06,17
2023-04-07,15
2023-04-08,4
2023-04-09,3
2023-04-10,12
2023-04-11,23
2023-04-12,19
2023-04-13,5
2023-04-14,12
2023-04-15,3
2023-04-16,2
2023-04-17,12
2023-04-18,11
2023-04-19,19
2023-04-20,4
2023-04-21,11
2023-04-22,11
2023-04-23,10
2023-04-24,12
2023-04-25,14
2023-04-26,7
2023-04-27,31
2023-04-28,21
2023-04-29,6
2023-04-30,8
2023-05-01,2
2023-05-02,4
2023-05-03,12
2023-05-04,13
2023-05-05,16
2023-05-06,14
2023-05-07,8
2023-05-08,15
2023-05-09,12
2023-05-10,21
2023-05-11,28
2023-05-12,34
2023-05-13,14
2023-05-14,16
2023-05-15,14
2023-05-16,27
2023-05-17,27
2023-05-18,21
2023-05-19,21
2023-05-20,12
2023-05-21,19
2023-05-22,20
2023-05-23,5
2023-05-24,9
2023-05-25,19
2023-05-26,6
2023-05-27,5
2023-05-28,4
2023-05-29,14
2023-05-30,8
2023-05-31,15
2023-06-01,22
2023-06-02,13
2023-06-03,12
2023-06-04,7
2023-06-05,12
2023-06-06,11
2023-06-07,12
2023-06-08,19
2023-06-09,14
2023-06-10,9
2023-06-11,10
2023-06-12,19
2023-06-13,9
2023-06-14,21
2023-06-15,19
2023-06-16,11
2023-06-17,7
2023-06-18,19
2023-06-19,18
2023-06-20,22
2023-06-21,18
2023-06-22,13
2023-06-23,11
2023-06-24,7
2023-06-25,32
2023-06-26,31
2023-06-27,44
2023-06-28,24
2023-06-29,21
2023-06-30,9
2023-07-01,3
2023-07-02,6
2023-07-03,12
2023-07-04,7
2023-07-05,12
2023-07-06,12
2023-07-07,20
2023-07-08,14
2023-07-09,17
2023-07-10,23
2023-07-11,10
2023-07-12,15
2023-07-13,19
2023-07-14,17
2023-07-15,19
2023-07-16,12
2023-07-17,16
2023-07-18,22
2023-07-19,24
2023-07-20,21
2023-07-21,16
2023-07-22,11
2023-07-23,16
2023-07-24,27
2023-07-25,22
2023-07-26,26
2023-07-27,26
2023-07-28,25
2023-07-29,14
2023-07-30,9
2023-07-31,17
2023-08-01,17
2023-08-02,27
2023-08-03,23
2023-08-04,20
2023-08-05,13
2023-08-06,12
2023-08-07,21
2023-08-08,13
2023-08-09,5
2023-08-10,24
2023-08-11,11
2023-08-12,15
2023-08-13,6
2023-08-14,10
2023-08-15,19
2023-08-16,23
2023-08-17,13
2023-08-18,16
2023-08-19,7
2023-08-20,10
2023-08-21,16
2023-08-22,9
2023-08-23,14
2023-08-24,6
2023-08-25,8
2023-08-26,4
2023-08-27,13
2023-08-28,9
2023-08-29,16
2023-08-30,7
2023-08-31,6
2023-09-01,7
2023-09-02,5
2023-09-03,2
2023-09-04,10
2023-09-05,6
2023-09-06,7
2023-09-07,6
2023-09-08,8
2023-09-10,3
2023-09-11,5
2023-09-12,6
2023-09-13,5
2023-09-14,6
2023-09-15,7
2023-09-16,1
2023-09-17,2
2023-09-18,4
2023-09-19,8
2023-09-20,6
2023-09-21,3
2023-09-22,3
2023-09-23,5
2023-09-24,8
2023-09-25,11
2023-09-26,10
2023-09-27,14
2023-09-28,7
2023-09-29,1
2023-10-01,1
2023-10-02,3
2023-10-03,5
2023-10-04,8
2023-10-05,7
2023-10-06,7
2023-10-07,14
2023-10-08,15
2023-10-09,10
2023-10-10,5
2023-10-11,8
2023-10-12,14
2023-10-13,5
2023-10-14,3
2023-10-15,7
2023-10-16,10
2023-10-17,10
2023-10-18,7
2023-10-19,8
2023-10-20,14
2023-10-21,11
2023-10-22,5
2023-10-23,7
2023-10-24,7
2023-10-25,6
2023-10-26,3
2023-10-27,7
2023-10-28,1
2023-10-29,4
2023-10-30,5
2023-10-31,3
2023-11-01,3
2023-11-02,6
2023-11-03,6
2023-11-04,10
2023-11-05,4
2023-11-06,8
2023-11-07,10
2023-11-08,5
2023-11-09,6
2023-11-10,6
2023-11-11,5
2023-11-12,7
2023-11-13,7
2023-11-14,3
2023-11-15,4
2023-11-16,10
2023-11-17,7
2023-11-18,10
2023-11-19,6
2023-11-20,7
2023-11-21,16
2023-11-22,9
2023-11-23,14
2023-11-24,7
2023-11-25,8
2023-11-26,4
2023-11-27,8
2023-11-28,3
2023-11-29,3
2023-11-30,7
2023-12-01,8
2023-12-02,9
2023-12-03,3
2023-12-04,9
2023-12-05,14
2023-12-06,5
2023-12-07,6
2023-12-08,11
2023-12-09,10
2023-12-10,8
2023-12-11,12
2023-12-12,11
2023-12-13,8
2023-12-14,4
2023-12-15,8
2023-12-16,1
2023-12-17,5
2023-12-18,9
2023-12-19,16
2023-12-20,12
2023-12-21,10
2023-12-22,6
2023-12-23,10
2023-12-24,9
2023-12-25,8
2023-12-26,12
2023-12-27,12
2023-12-28,10
2023-12-29,10
2023-12-30,5
2023-12-31,5
2024-01-01,11
2024-01-02,10
2024-01-03,10
2024-01-04,9
2024-01-05,4
2024-01-06,2
2024-01-07,3
2024-01-08,4
2024-01-09,3
2024-01-10,5
2024-01-11,6
2024-01-12,6
2024-01-13,5
2024-01-14,6
2024-01-15,9
2024-01-16,6
2024-01-17,11
2024-01-18,10
2024-01-19,12
2024-01-20,7
2024-01-21,5
2024-01-22,9
2024-01-23,11
2024-01-24,17
2024-01-25,15
2024-01-26,6
2024-01-27,11
2024-01-28,10
2024-01-29,17
2024-01-30,10
2024-01-31,15
2024-02-01,14
2024-02-02,10
2024-02-03,7
2024-02-04,16
2024-02-05,9
2024-02-06,21
2024-02-07,28
2024-02-08,18
2024-02-09,2
2024-02-10,2
2024-02-11,12
2024-02-12,2
2024-02-13,18
2024-02-14,9
2024-02-15,12
2024-02-16,10
2024-02-17,8
2024-02-18,29
2024-02-19,11
2024-02-20,13
2024-02-21,15
2024-02-22,12
2024-02-23,7
2024-02-24,14
2024-02-25,6
2024-02-26,15
2024-02-27,14
2024-02-28,15
2024-02-29,8
2024-03-01,12
2024-03-02,6
2024-03-03,3
2024-03-04,11
